中心点的像素是：[97, 162, 190]
坐标位置为：[526,731]  [190, 202, 214]161.081
坐标位置为：[527,731]  [195, 204, 217]169.741
坐标位置为：[528,731]  [195, 204, 214]169.741
坐标位置为：[529,731]  [194, 200, 211]168.009
坐标位置为：[530,731]  [195, 200, 209]169.741
坐标位置为：[531,731]  [196, 198, 208]171.473
坐标位置为：[532,731]  [196, 198, 206]171.473
坐标位置为：[533,731]  [198, 200, 208]174.937
坐标位置为：[534,731]  [197, 197, 203]173.205
坐标位置为：[535,731]  [197, 197, 203]173.205
坐标位置为：[536,731]  [197, 195, 201]173.205
坐标位置为：[537,731]  [197, 195, 201]173.205
坐标位置为：[538,731]  [200, 196, 201]178.401
坐标位置为：[539,731]  [200, 196, 201]178.401
坐标位置为：[540,731]  [197, 193, 198]173.205
坐标位置为：[541,731]  [195, 191, 196]169.741
坐标位置为：[542,731]  [193, 192, 196]166.277
坐标位置为：[543,731]  [198, 197, 201]174.937
坐标位置为：[544,731]  [204, 201, 203]185.329
坐标位置为：[545,731]  [210, 207, 209]195.722
坐标位置为：[546,731]  [218, 213, 214]209.578
坐标位置为：[547,731]  [218, 213, 212]209.578
坐标位置为：[548,731]  [223, 216, 213]218.238
坐标位置为：[549,731]  [234, 228, 223]237.291
坐标位置为：[550,731]  [242, 233, 229]251.147
坐标位置为：[551,731]  [246, 238, 231]258.076
坐标位置为：[552,731]  [247, 237, 230]259.808
坐标位置为：[553,731]  [244, 234, 227]254.611
坐标位置为：[554,731]  [246, 236, 229]258.076
坐标位置为：[555,731]  [248, 237, 229]261.54
坐标位置为：[556,731]  [246, 235, 227]258.076
坐标位置为：[557,731]  [246, 236, 226]258.076
坐标位置为：[558,731]  [245, 235, 225]256.344
坐标位置为：[559,731]  [245, 235, 225]256.344
坐标位置为：[560,731]  [246, 237, 224]258.076
坐标位置为：[561,731]  [248, 239, 226]261.54
坐标位置为：[562,731]  [252, 243, 229]268.468
坐标位置为：[563,731]  [253, 244, 230]270.2
坐标位置为：[564,731]  [252, 245, 230]268.468
坐标位置为：[565,731]  [252, 245, 230]268.468
坐标位置为：[566,731]  [250, 242, 225]265.004
坐标位置为：[567,731]  [249, 241, 224]263.272
坐标位置为：[568,731]  [250, 241, 227]265.004
坐标位置为：[569,731]  [249, 240, 226]263.272
坐标位置为：[570,731]  [248, 239, 226]261.54
坐标位置为：[571,731]  [247, 238, 225]259.808
坐标位置为：[572,731]  [247, 238, 225]259.808
坐标位置为：[573,731]  [247, 238, 225]259.808
坐标位置为：[574,731]  [247, 238, 225]259.808
坐标位置为：[575,731]  [248, 239, 226]261.54
坐标位置为：[576,731]  [247, 238, 225]259.808
坐标位置为：[577,731]  [245, 236, 223]256.344
坐标位置为：[578,731]  [247, 238, 224]259.808
坐标位置为：[579,731]  [250, 241, 227]265.004
坐标位置为：[580,731]  [252, 244, 227]268.468
坐标位置为：[581,731]  [252, 244, 227]268.468
坐标位置为：[582,731]  [251, 244, 225]266.736
坐标位置为：[583,731]  [252, 245, 226]268.468
坐标位置为：[584,731]  [252, 246, 227]268.468
坐标位置为：[585,731]  [251, 244, 227]266.736
坐标位置为：[586,731]  [249, 245, 227]263.272
坐标位置为：[587,731]  [250, 243, 226]265.004
坐标位置为：[588,731]  [250, 243, 224]265.004
坐标位置为：[589,731]  [249, 242, 222]263.272
坐标位置为：[590,731]  [252, 243, 223]268.468
坐标位置为：[591,731]  [253, 241, 223]270.2
坐标位置为：[592,731]  [252, 239, 223]268.468
坐标位置为：[593,731]  [247, 235, 223]259.808
坐标位置为：[594,731]  [244, 235, 226]254.611
坐标位置为：[595,731]  [233, 227, 222]235.559
坐标位置为：[596,731]  [224, 219, 218]219.97
坐标位置为：[597,731]  [203, 203, 209]183.597
坐标位置为：[598,731]  [186, 194, 207]154.153
坐标位置为：[599,731]  [172, 185, 201]129.904
坐标位置为：[600,731]  [164, 178, 196]116.047
坐标位置为：[601,731]  [160, 177, 196]109.119
坐标位置为：[602,731]  [154, 175, 197]98.7269
坐标位置为：[603,731]  [149, 173, 197]90.0666
坐标位置为：[604,731]  [143, 170, 197]79.6743
坐标位置为：[605,731]  [138, 168, 195]71.0141
坐标位置为：[606,731]  [135, 169, 198]65.8179
坐标位置为：[607,731]  [131, 168, 196]58.8897
坐标位置为：[608,731]  [124, 164, 192]46.7654
坐标位置为：[609,731]  [119, 162, 189]38.1051
坐标位置为：[610,731]  [118, 166, 190]36.3731
坐标位置为：[611,731]  [120, 170, 193]39.8372
坐标位置为：[612,731]  [120, 170, 193]39.8372
坐标位置为：[613,731]  [116, 168, 191]32.909
坐标位置为：[614,731]  [113, 168, 189]27.7128
坐标位置为：[615,731]  [116, 171, 192]32.909
坐标位置为：[616,731]  [117, 167, 189]34.641
坐标位置为：[617,731]  [113, 162, 184]27.7128
坐标位置为：[618,731]  [118, 162, 186]36.3731
坐标位置为：[619,731]  [120, 161, 186]39.8372
坐标位置为：[620,731]  [118, 159, 184]36.3731
坐标位置为：[621,731]  [119, 161, 184]38.1051
坐标位置为：[622,731]  [125, 166, 188]48.4974
坐标位置为：[623,731]  [130, 170, 189]57.1577
坐标位置为：[624,731]  [146, 180, 196]84.8705
坐标位置为：[625,731]  [156, 184, 195]102.191
坐标位置为：[626,731]  [168, 190, 196]122.976
坐标位置为：[627,731]  [199, 211, 215]176.669
坐标位置为：[628,731]  [235, 240, 241]239.023
